CHROM	GeneStart	GeneEnd	TargetID	GeneName	R2	F_STAT	F_PVALUE	N
2	201717732	201729422	ENSG00000013441.11	CLK1	0.006121411566665458	0.38802418443064085	0.67920374796077	128
2	241375088	241407493	ENSG00000063660.4	GPC1	0.010006230052521548	0.6367641013966198	0.5306951023209975	128
2	74753772	74756503	ENSG00000115307.12	AUP1	0.001004431208495804	0.06334278960995274	0.9386515384443158	128
2	242088991	242123067	ENSG00000115685.10	PPP1R7	0.02165545216923581	1.3944918379591675	0.25175913212965856	128
2	202241930	202316302	ENSG00000115993.7	TRAK2	0.004280990353156322	0.27086194964230637	0.7631647539637805	128
2	71409869	71454213	ENSG00000124374.8	PAIP2B	0.026043857945063587	1.6846375105527671	0.18966283842082216	128
2	241653181	241759725	ENSG00000130294.10	KIF1A	0.0034857123611404806	0.22036801827716146	0.8025320384418232	128
2	158175137	158184225	ENSG00000136541.10	ERMN	0.006894381963906904	0.4373614002759082	0.6467145608315346	128
2	159313476	159539391	ENSG00000144283.17	PKP4	0.0013095144232012634	0.08260758448502512	0.9207622006708807	128
2	73481810	73511559	ENSG00000163013.7	FBXO41	0.02088389966382964	1.3437483852727334	0.2645782255345499	128
2	74119441	74146992	ENSG00000163017.9	ACTG2	0.002461068366917618	0.15542983055506707	0.8562110223889925	128
2	242254515	242293442	ENSG00000168385.13	2-Sep	0.01086075296204747	0.6917402566503756	0.5025952156342922	128
2	242498136	242513546	ENSG00000176720.3	BOK	0.03760185514532988	2.4614728185220156	0.08940276734017921	128
2	74588281	74619115	ENSG00000204843.8	DCTN1	0.05389075942548183	3.5885051093504714	0.030500074917170224	128
