CHROM	GeneStart	GeneEnd	TargetID	GeneName	ZSCORE	PVALUE
1	196621008	196716634	ENSG00000000971.11	CFH	-0.0969895339003399	0.9227347060002152
1	24683489	24743424	ENSG00000001460.13	STPG1	0.06440827576303698	0.9486451406052496
1	24745781	24799466	ENSG00000001461.12	NIPAL3	0.0341153059141478	0.972785203235192
1	23345941	23410182	ENSG00000004487.11	KDM1A	-0.3990706812246109	0.6898411246283195
1	24104895	24114722	ENSG00000057757.5	PITHD1	-0.2590651149106916	0.7955850004043222
1	111743393	111786062	ENSG00000064886.9	CHI3L2	0.28735945922707185	0.7738370995401086
1	22379120	22419437	ENSG00000070831.11	CDC42	-0.3049713550720479	0.7603879690453408
1	24018269	24022915	ENSG00000142676.8	RPL11	-0.21083848707151576	0.8330133051865659
1	169074935	169101768	ENSG00000143153.8	ATP1B1	0.13006042547153324	0.8965186200075037
1	167885967	167906278	ENSG00000143158.6	MPC2	0.16243210478811249	0.870965590566323
1	167905279	168045081	ENSG00000143164.11	DCAF6	0.0772658044243627	0.9384120936729494
1	198126093	198291550	ENSG00000151414.10	NEK7	-0.19537880871059984	0.8450964051216084
1	113243728	113250056	ENSG00000155366.12	RHOC	0.018400227957968862	0.9853195705899798
