CHROM	GeneStart	GeneEnd	TargetID	GeneName	R2	BETA	BETA_SE	T_STAT	PVALUE	N
1	196621008	196716634	ENSG00000000971.11	CFH	0.10338245382663436	0.9557295745189283	5.561180855594561	0.1718573086069413	0.8638391960441707	128
1	24683489	24743424	ENSG00000001460.13	STPG1	0.10796830369802946	6.658951074327588	8.281128880149867	0.8041115131403532	0.4229226889479054	128
1	24745781	24799466	ENSG00000001461.12	NIPAL3	0.11826096913709172	17.55086207988282	12.243369849124152	1.4334992976740262	0.1543156124698131	128
1	23345941	23410182	ENSG00000004487.11	KDM1A	0.10960774582875199	2.3460654850054814	2.5170741130990244	0.9320605510963692	0.3531767112434132	128
1	24104895	24114722	ENSG00000057757.5	PITHD1	0.11301615105886853	0.6791044008928232	0.5881514838567452	1.1546419919570095	0.2505312366440943	128
1	111743393	111786062	ENSG00000064886.9	CHI3L2	0.10433539574059592	-14.087746854063568	35.527087742313846	-0.3965353691877376	0.6924143940669495	128
1	22379120	22419437	ENSG00000070831.11	CDC42	0.10462230495811531	0.7559145068793907	1.7085585149306024	0.44242822254764513	0.6589757711801252	128
1	24018269	24022915	ENSG00000142676.8	RPL11	0.10317079266314755	-0.01142722612638164	0.3289589813360093	-0.03473754107570482	0.9723467422880926	128
1	169074935	169101768	ENSG00000143153.8	ATP1B1	0.15735563233139627	0.770879734583102	0.2774873135119471	2.778071994811799	0.00634815495450787	128
1	198126093	198291550	ENSG00000151414.10	NEK7	0.12581718825284383	-18.932695611144325	10.73586298947989	-1.7635001144944324	0.08036136989831562	128
1	113243728	113250056	ENSG00000155366.12	RHOC	0.14288257169850938	-118.47249629322513	50.23866615616099	-2.358193506271988	0.01998103929411111	128
