CHROM	GeneStart	GeneEnd	TargetID	GeneName	R2	F_STAT	F_PVALUE	N
1	196621008	196716634	ENSG00000000971.11	CFH	0.006710064868014065	0.4255898219976543	0.6543200004366246	128
1	24683489	24743424	ENSG00000001460.13	STPG1	0.0017759005386466242	0.11208077824919938	0.8940610682601196	128
1	24745781	24799466	ENSG00000001461.12	NIPAL3	0.008748055709548397	0.5559913530319015	0.574903942503647	128
1	23345941	23410182	ENSG00000004487.11	KDM1A	0.004235254926596599	0.26795592201440616	0.765376286413613	128
1	24104895	24114722	ENSG00000057757.5	PITHD1	0.004011746993682341	0.25375807379164167	0.776275042675149	128
1	111743393	111786062	ENSG00000064886.9	CHI3L2	0.002545803410779479	0.16079496725518005	0.8516410726412327	128
1	22379120	22419437	ENSG00000070831.11	CDC42	0.02229692413403339	1.4367411283839238	0.24156823902525262	128
1	24018269	24022915	ENSG00000142676.8	RPL11	0.0007650043574376486	0.048232172340581046	0.9529301063073906	128
1	169074935	169101768	ENSG00000143153.8	ATP1B1	0.05939227971385519	3.9779746022439637	0.02112214198729959	128
1	198126093	198291550	ENSG00000151414.10	NEK7	0.004770248415821077	0.3019661035236942	0.7398966764874937	128
1	113243728	113250056	ENSG00000155366.12	RHOC	0.01620674006183387	1.0378447032252531	0.3572252089609976	128
